Datetime;PJM_Load_MW;Weekday;Date;Year;Month;Season;Day;Time;Hour;Minute;Week;DayOfWeek;LeapYear
1998-04-06 04:00:00;2;Monday;1998-04-06;1998;4;Spring;6;04:00:00;4;0;15;0;False
1998-04-06 05:00:00;2;Monday;1998-04-06;1998;4;Spring;6;05:00:00;5;0;15;0;False
1998-04-06 06:00:00;2;Monday;1998-04-06;1998;4;Spring;6;06:00:00;6;0;15;0;False
1998-04-06 07:00:00;3;Monday;1998-04-06;1998;4;Spring;6;07:00:00;7;0;15;0;False
1998-04-06 08:00:00;3;Monday;1998-04-06;1998;4;Spring;6;08:00:00;8;0;15;0;False
1998-04-06 09:00:00;3;Monday;1998-04-06;1998;4;Spring;6;09:00:00;9;0;15;0;False
1998-04-06 10:00:00;3;Monday;1998-04-06;1998;4;Spring;6;10:00:00;10;0;15;0;False
1998-04-06 11:00:00;3;Monday;1998-04-06;1998;4;Spring;6;11:00:00;11;0;15;0;False
1998-04-06 12:00:00;3;Monday;1998-04-06;1998;4;Spring;6;12:00:00;12;0;15;0;False
1998-04-06 13:00:00;3;Monday;1998-04-06;1998;4;Spring;6;13:00:00;13;0;15;0;False
1998-04-06 14:00:00;3;Monday;1998-04-06;1998;4;Spring;6;14:00:00;14;0;15;0;False
1998-04-06 15:00:00;3;Monday;1998-04-06;1998;4;Spring;6;15:00:00;15;0;15;0;False
1998-04-06 16:00:00;3;Monday;1998-04-06;1998;4;Spring;6;16:00:00;16;0;15;0;False
1998-04-06 17:00:00;3;Monday;1998-04-06;1998;4;Spring;6;17:00:00;17;0;15;0;False
1998-04-06 18:00:00;3;Monday;1998-04-06;1998;4;Spring;6;18:00:00;18;0;15;0;False
1998-04-06 19:00:00;3;Monday;1998-04-06;1998;4;Spring;6;19:00:00;19;0;15;0;False
1998-04-06 20:00:00;3;Monday;1998-04-06;1998;4;Spring;6;20:00:00;20;0;15;0;False
1998-04-06 21:00:00;3;Monday;1998-04-06;1998;4;Spring;6;21:00:00;21;0;15;0;False
